Date,Open,High,Low,Close
12-August-2021,54641.22,54874.10,54536.65,54843.98,
13-August-2021,54911.95,55487.79,54905.49,55437.29,
16-August-2021,55479.74,55680.75,55281.02,55582.58,
17-August-2021,55565.64,55854.88,55386.49,55792.27,
18-August-2021,56073.31,56118.57,55514.89,55629.49,
20-August-2021,55159.13,55543.16,55013.98,55329.32,
23-August-2021,55695.84,55781.17,55240.29,55555.79,
24-August-2021,55647.11,56023.22,55536.84,55958.98,
25-August-2021,56067.06,56198.13,55899.96,55944.21,
26-August-2021,55988.41,56112.39,55854.07,55949.10,
27-August-2021,55862.93,56188.23,55675.87,56124.72,
30-August-2021,56329.25,56958.27,56309.86,56889.76,
31-August-2021,56995.15,57625.26,56859.10,57552.39,
1-September-2021,57763.53,57918.71,57263.90,57338.21,
2-September-2021,57423.65,57892.37,57287.79,57852.54,
3-September-2021,57983.45,58194.79,57764.07,58129.95,
6-September-2021,58411.62,58515.85,58200.29,58296.91,
7-September-2021,58418.69,58553.07,58005.07,58279.48,
8-September-2021,58350.56,58372.94,57924.48,58250.26,
9-September-2021,58172.98,58334.59,58084.99,58305.07,
13-September-2021,58262.11,58314.64,57944.63,58177.76,
14-September-2021,58482.62,58482.62,58214.29,58247.09,
15-September-2021,58354.11,58777.06,58272.82,58723.20,
16-September-2021,58881.04,59204.29,58700.50,59141.16,
17-September-2021,59409.98,59737.32,58871.73,59015.89,
20-September-2021,58634.69,59202.56,58389.69,58490.93,
21-September-2021,58630.06,59084.51,58232.54,59005.27,
22-September-2021,59166.15,59178.44,58878.38,58927.33,
23-September-2021,59358.18,59957.25,59243.15,59885.36,
24-September-2021,60158.76,60333.00,59946.55,60048.47,
27-September-2021,60303.79,60412.32,59887.19,60077.88,
28-September-2021,60285.89,60288.44,59045.53,59667.60,
29-September-2021,59296.54,59678.66,59111.41,59413.27,
30-September-2021,59549.57,59557.24,59019.28,59126.36,
1-October-2021,58889.77,58890.08,58551.14,58765.58,
4-October-2021,59143.00,59548.82,58952.11,59299.32,
5-October-2021,59320.14,59778.87,59127.04,59744.88,
6-October-2021,59942.00,59963.57,59079.86,59189.73,
7-October-2021,59632.81,59914.91,59597.06,59677.83,
8-October-2021,59960.39,60212.30,59830.93,60059.06,
11-October-2021,60099.68,60476.13,59811.42,60135.78,
12-October-2021,60045.75,60331.74,59885.39,60284.31,
13-October-2021,60619.91,60836.63,60452.29,60737.05,
14-October-2021,61088.82,61353.25,60978.04,61305.95,
18-October-2021,61817.32,61963.07,61624.65,61765.59,
19-October-2021,62156.48,62245.43,61594.29,61716.05,
20-October-2021,61800.07,61880.36,61109.29,61259.96,
21-October-2021,61557.94,61621.20,60485.65,60923.50,
22-October-2021,61044.54,61420.13,60551.15,60821.62,
25-October-2021,61398.75,61404.99,60449.68,60967.05,
26-October-2021,60997.90,61497.71,60791.29,61350.26,
27-October-2021,61499.70,61576.85,60989.39,61143.33,
28-October-2021,61081.00,61081.00,59777.58,59984.70,
29-October-2021,59857.33,60132.81,59089.37,59306.93,
1-November-2021,59577.48,60220.21,59355.12,60138.46,
2-November-2021,60360.61,60421.14,59881.75,60029.06,
3-November-2021,60275.21,60361.82,59552.49,59771.92,
4-November-2021,60207.97,60207.97,60011.46,60067.62,
8-November-2021,60385.76,60609.16,59779.19,60545.61,
9-November-2021,60609.72,60670.47,60213.64,60433.45,
10-November-2021,60295.26,60506.50,59967.45,60352.82,
11-November-2021,60291.70,60293.25,59656.26,59919.69,
12-November-2021,60248.04,60750.72,59997.96,60686.69,
15-November-2021,60837.40,61036.56,60597.36,60718.71,
16-November-2021,60755.38,60802.79,60199.56,60322.37,
17-November-2021,60179.93,60426.61,59944.77,60008.33,
18-November-2021,59968.75,60177.52,59376.50,59636.01,
22-November-2021,59710.48,59778.37,58011.92,58465.89,
23-November-2021,57983.95,58834.95,57718.34,58664.33,
24-November-2021,58839.32,58968.12,58143.44,58340.99,
25-November-2021,58363.93,58901.58,58143.86,58795.09,
26-November-2021,58254.79,58254.79,56993.89,57107.15,
29-November-2021,57028.04,57626.51,56382.93,57260.58,
30-November-2021,57272.08,58183.77,56867.51,57064.87,
1-December-2021,57365.85,57846.45,57346.78,57684.79,
2-December-2021,57781.48,58513.93,57680.41,58461.29,
3-December-2021,58555.58,58757.09,57640.57,57696.46,
6-December-2021,57778.01,57781.46,56687.62,56747.14,
7-December-2021,57125.98,57905.63,56992.27,57633.65,
8-December-2021,58158.56,58702.65,58122.27,58649.68,
9-December-2021,58831.41,58889.96,58340.85,58807.13,
10-December-2021,58696.71,58859.91,58414.76,58786.67,
13-December-2021,59103.72,59203.37,58242.80,58283.42,
14-December-2021,58059.76,58322.42,57803.87,58117.09,
15-December-2021,58122.00,58218.25,57671.61,57788.03,
16-December-2021,58243.43,58337.20,57683.11,57901.14,
17-December-2021,58021.63,58062.28,56950.98,57011.74,
20-December-2021,56517.26,56538.15,55132.68,55822.01,
21-December-2021,56320.02,56900.74,56047.22,56319.01,
22-December-2021,56599.47,56989.01,56471.03,56930.56,
23-December-2021,57251.15,57490.52,57146.28,57315.28,
24-December-2021,57567.11,57623.69,56813.42,57124.31,
27-December-2021,56948.33,57512.01,56543.08,57420.24,
28-December-2021,57751.21,57952.48,57650.29,57897.48,
29-December-2021,57892.31,58097.07,57684.58,57806.49,
30-December-2021,57755.40,58010.03,57578.99,57794.32,
31-December-2021,57849.76,58409.30,57846.52,58253.82,
3-January-2022,58310.09,59266.39,58306.45,59183.22,
4-January-2022,59343.79,59937.33,59084.40,59855.93,
5-January-2022,59921.98,60332.72,59661.38,60223.15,
6-January-2022,59731.75,59781.86,59290.58,59601.84,
7-January-2022,59776.10,60130.18,59401.44,59744.65,
10-January-2022,60070.39,60427.36,59987.18,60395.63,
11-January-2022,60342.70,60689.25,60281.52,60616.89,
12-January-2022,61014.37,61218.19,60850.93,61150.04,
13-January-2022,61259.99,61348.57,60949.81,61235.30,
14-January-2022,61040.32,61324.59,60757.03,61223.03,
17-January-2022,61219.64,61385.48,61107.60,61308.91,
18-January-2022,61430.77,61475.15,60662.57,60754.86,
19-January-2022,60845.59,60870.17,59949.22,60098.82,
20-January-2022,60045.48,60045.48,59068.31,59464.62,
21-January-2022,59039.37,59329.63,58620.93,59037.18,
24-January-2022,59023.97,59023.97,56984.01,57491.51,
25-January-2022,57158.63,57966.93,56409.63,57858.15,
27-January-2022,57317.38,57508.61,56439.36,57276.94,
28-January-2022,57795.11,58084.33,57119.28,57200.23,
31-January-2022,57845.91,58257.63,57746.15,58014.17,
1-February-2022,58672.86,59032.20,57737.66,58862.57,
2-February-2022,59293.44,59618.51,59193.05,59558.33,
3-February-2022,59528.16,59557.87,58653.94,58788.02,
4-February-2022,58918.65,58943.62,58446.95,58644.82,
7-February-2022,58549.67,58707.76,57299.05,57621.19,
8-February-2022,57799.67,57925.82,57058.77,57808.58,
9-February-2022,58163.01,58507.61,58105.18,58465.97,
10-February-2022,58810.53,59060.24,58332.28,58926.03,
11-February-2022,58447.15,58447.15,57914.10,58152.92,
14-February-2022,56720.32,57191.91,56295.70,56405.84,
15-February-2022,56731.56,58211.38,56438.47,58142.05,
16-February-2022,58310.68,58569.22,57780.28,57996.68,
17-February-2022,58217.69,58346.00,57635.43,57892.01,
18-February-2022,57488.39,58175.35,57488.39,57832.97,
21-February-2022,57551.65,58141.96,57167.02,57683.59,
22-February-2022,56438.64,57505.85,56394.85,57300.68,
23-February-2022,57632.94,57733.37,57109.24,57232.06,
24-February-2022,55418.45,55996.09,54383.20,54529.91,
25-February-2022,55321.72,56183.70,55299.28,55858.52,
28-February-2022,55329.46,56324.54,54833.50,56247.28,
2-March-2022,55629.30,55755.09,55020.10,55468.90,
3-March-2022,55921.44,55996.62,54931.48,55102.68,
4-March-2022,54653.59,55013.27,53887.72,54333.81,
7-March-2022,53172.51,53203.87,52367.10,52842.75,
8-March-2022,52430.06,53484.26,52260.82,53424.09,
9-March-2022,53793.99,54893.73,53367.52,54647.33,
10-March-2022,56242.47,56242.47,54982.82,55464.39,
11-March-2022,55218.78,55833.95,55049.95,55550.30,
14-March-2022,55614.40,56545.83,55556.47,56486.02,
15-March-2022,56663.87,56720.60,55418.95,55776.85,
16-March-2022,56555.33,56860.89,56389.26,56816.65,
17-March-2022,57620.28,58095.84,57518.06,57863.93,
21-March-2022,58030.41,58127.95,57229.08,57292.49,
22-March-2022,57297.57,58052.87,56930.30,57989.30,
23-March-2022,58198.64,58416.56,57568.59,57684.82,
24-March-2022,57190.05,57827.99,57138.51,57595.68,
25-March-2022,57801.72,57845.37,57100.24,57362.20,
28-March-2022,57472.72,57638.34,56825.09,57593.49,
29-March-2022,57814.76,58001.53,57639.35,57943.65,
30-March-2022,58362.85,58727.78,58176.00,58683.99,
31-March-2022,58779.71,58890.92,58485.79,58568.51,
1-April-2022,58530.73,59396.62,58450.04,59276.69,
4-April-2022,59764.13,60845.10,59760.22,60611.74,
5-April-2022,60786.07,60786.07,60067.18,60176.50,
6-April-2022,59815.71,59941.57,59509.84,59610.41,
