Date,Open,High,Low,Close
6-June-2022,40500.60,40848.69,40423.20,40722.73,
7-June-2022,40496.88,40537.82,40186.21,40375.89,
8-June-2022,40566.91,40892.65,40176.38,40304.75,
9-June-2022,40090.57,40541.60,39976.60,40466.45,
10-June-2022,40158.92,40158.92,39598.82,39735.84,
13-June-2022,38787.39,38878.41,38283.64,38494.32,
14-June-2022,38251.69,38748.54,38191.01,38403.13,
15-June-2022,38413.85,38704.00,38378.96,38469.80,
16-June-2022,38824.45,38950.87,37527.91,37607.55,
17-June-2022,37442.97,37913.99,37242.74,37766.25,
20-June-2022,37795.50,37950.18,37381.17,37648.33,
21-June-2022,37958.20,38695.65,37794.26,38227.78,
22-June-2022,37934.40,38117.57,37726.18,37850.29,
23-June-2022,37957.15,38509.89,37623.67,38205.92,
24-June-2022,38526.16,38822.53,38499.22,38701.99,
27-June-2022,39264.15,39307.89,38796.89,38884.42,
28-June-2022,38561.38,38816.38,38546.09,38704.48,
29-June-2022,38208.76,38444.80,38180.35,38239.26,
30-June-2022,38072.28,38720.21,38068.89,38475.94,
1-July-2022,38332.62,38757.46,38096.47,38626.25,
4-July-2022,38632.92,39089.14,38566.19,39041.85,
5-July-2022,39257.21,39520.44,38845.25,38896.73,
6-July-2022,38988.11,39596.94,38988.11,39513.68,
7-July-2022,39927.52,40226.63,39783.09,40180.78,
8-July-2022,40458.72,40545.45,40274.95,40445.58,
11-July-2022,40275.79,40892.05,40265.24,40792.25,
12-July-2022,40638.97,40773.41,40308.96,40407.26,
13-July-2022,40666.53,40666.53,40100.39,40180.37,
14-July-2022,40185.61,40407.29,39912.84,40008.35,
15-July-2022,40045.12,40316.99,39799.33,40074.01,
18-July-2022,40222.69,40940.68,40212.96,40907.13,
19-July-2022,40619.30,41345.13,40597.68,41297.37,
20-July-2022,41675.48,41816.63,41463.76,41572.30,
21-July-2022,41583.00,41924.56,41468.16,41784.42,
22-July-2022,41842.29,42501.55,41842.29,42405.30,
25-July-2022,42419.96,42739.59,42049.57,42337.54,
26-July-2022,42343.70,42343.70,41812.60,41882.21,
27-July-2022,41823.96,42362.31,41709.14,42329.35,
28-July-2022,42715.63,43098.74,42621.50,43058.71,
29-July-2022,43340.80,43484.43,42889.90,43130.69,
1-August-2022,43164.71,43617.35,43041.96,43573.78,
2-August-2022,43460.35,43926.48,43254.26,43716.70,
3-August-2022,43670.23,43772.23,43359.83,43658.85,
4-August-2022,43712.61,43924.77,42794.46,43346.93,
5-August-2022,43413.33,43819.80,43408.92,43550.81,
8-August-2022,43552.85,43938.83,43246.83,43852.04,
10-August-2022,43957.49,44044.30,43777.19,43855.51,
11-August-2022,44214.52,44624.26,44214.52,44575.93,
